set,rarity,print_run
LEA,C," 16,000 "
LEA,U," 4,500 "
LEA,R," 1,100 "
LEB,C," 48,000 "
LEB,U," 13,500 "
LEB,R," 3,200 "
2ED,C," 244,500 "
2ED,U," 68,000 "
2ED,R," 18,500 "
3ED,C," 3,657,000 "
3ED,U," 1,012,000 "
3ED,R," 289,000 "
ARN,C1," 31,000 "
ARN,C4," 124,000 "
ARN,C5," 155,000 "
ARN,C11," 341,000 "
ARN,U2," 20,500 "
ARN,U3," 31,000 "
ARN,U4," 41,000 "
ATQ,C1," 93,000 "
ATQ,C2," 186,000 "
ATQ,C4," 372,000 "
ATQ,U1," 31,000 "
ATQ,U2," 62,000 "
ATQ,U3," 93,000 "
LEG,C1," 212,000 "
LEG,C2," 424,000 "
LEG,U1," 58,000 "
LEG,U2," 116,000 "
LEG,R," 19,500 "
DRK,C1," 1,153,000 "
DRK,C3," 384,500 "
DRK,U1," 128,000 "
DRK,U2," 256,000 "
