card_name,set,rarity,full_rarity,old_price,print_run,full_set,cur_price,set_rarity,pct_increase,performance
Air Elemental,LEA,uncommon,U,$2.13,4500,Alpha,146.53666666666666,LEA (U),6779.655712050095,Beat S&P
Ancestral Recall,LEA,rare,R,$8.75,1100,Alpha,15938,LEA (R),182048.57142857142,Beat S&P
Animate Artifact,LEA,uncommon,U,$2.00,4500,Alpha,55.093333333333334,LEA (U),2654.6666666666647,Beat S&P
Animate Dead,LEA,uncommon,U,$2.00,4500,Alpha,538.9233333333333,LEA (U),26846.166666666646,Beat S&P
Animate Wall,LEA,rare,R,$6.00,1100,Alpha,825,LEA (R),13650,Beat S&P
Ankh of Mishra,LEA,rare,R,$5.00,1100,Alpha,438.35,LEA (R),8667,Beat S&P
Armageddon,LEA,rare,R,$8.00,1100,Alpha,3230.17,LEA (R),40277.125,Beat S&P
Aspect of Wolf,LEA,rare,R,$8.00,1100,Alpha,899.99,LEA (R),11149.875,Beat S&P
Bad Moon,LEA,rare,R,$8.00,1100,Alpha,838.635,LEA (R),10382.9375,Beat S&P
Badlands,LEA,rare,R,$7.50,1100,Alpha,5199.99,LEA (R),69233.2,Beat S&P
Balance,LEA,rare,R,$5.50,1100,Alpha,1594,LEA (R),28881.81818181818,Beat S&P
Basalt Monolith,LEA,uncommon,U,$2.50,4500,Alpha,369.35,LEA (U),14674,Beat S&P
Bayou,LEA,rare,R,$7.00,1100,Alpha,4402.45,LEA (R),62792.142857142855,Beat S&P
Benalish Hero,LEA,common,C,$0.40,16000,Alpha,58.03,LEA (C),14407.499999999998,Beat S&P
Berserk,LEA,uncommon,U,$2.75,4500,Alpha,631.785,LEA (U),22873.999999999996,Beat S&P
Birds of Paradise,LEA,rare,R,$7.50,1100,Alpha,3938,LEA (R),52406.66666666667,Beat S&P
Black Knight,LEA,uncommon,U,$4.00,4500,Alpha,583.385,LEA (U),14484.625,Beat S&P
Black Lotus,LEA,rare,R,$15.00,1100,Alpha,81421,LEA (R),542706.6666666666,Beat S&P
Black Vise,LEA,uncommon,U,$3.00,4500,Alpha,490.63,LEA (U),16254.333333333332,Beat S&P
Black Ward,LEA,uncommon,U,$2.00,4500,Alpha,36.09,LEA (U),1704.5000000000002,Below S&P
Blaze of Glory,LEA,rare,R,$7.50,1100,Alpha,849.99,LEA (R),11233.2,Beat S&P
Blessing,LEA,rare,R,$6.50,1100,Alpha,292.63,LEA (R),4402,Beat S&P
Blue Elemental Blast,LEA,common,C,$0.41,16000,Alpha,61.553333333333335,LEA (C),14913.008130081294,Beat S&P
Blue Ward,LEA,uncommon,U,$2.00,4500,Alpha,37.49333333333333,LEA (U),1774.666666666665,Below S&P
Bog Wraith,LEA,uncommon,U,$3.50,4500,Alpha,89.38,LEA (U),2453.714285714286,Beat S&P
Braingeyser,LEA,rare,R,$8.00,1100,Alpha,2348.285,LEA (R),29253.5625,Beat S&P
Burrowing,LEA,uncommon,U,$2.00,4500,Alpha,34.37,LEA (U),1618.4999999999998,Below S&P
Camouflage,LEA,uncommon,U,$1.25,4500,Alpha,93.84,LEA (U),7407.200000000001,Beat S&P
Castle,LEA,uncommon,U,$2.68,4500,Alpha,156.50333333333333,LEA (U),5739.676616915409,Beat S&P
Celestial Prism,LEA,uncommon,U,$3.00,4500,Alpha,46.096666666666664,LEA (U),1436.5555555555566,Below S&P
Channel,LEA,uncommon,U,$3.00,4500,Alpha,279.90333333333336,LEA (U),9230.1111111111,Beat S&P
Chaos Orb,LEA,rare,R,$10.00,1100,Alpha,6375,LEA (R),63650,Beat S&P
Chaoslace,LEA,rare,R,$5.00,1100,Alpha,248.85666666666668,LEA (R),4877.1333333333405,Beat S&P
Circle of Protection: Blue,LEA,common,C,$0.50,16000,Alpha,22.41,LEA (C),4382,Beat S&P
Circle of Protection: Green,LEA,common,C,$0.50,16000,Alpha,33.245,LEA (C),6548.999999999999,Beat S&P
Circle of Protection: Red,LEA,common,C,$0.50,16000,Alpha,31.443333333333335,LEA (C),6188.66666666666,Beat S&P
Circle of Protection: White,LEA,common,C,$0.50,16000,Alpha,26.02,LEA (C),5104,Beat S&P
Clockwork Beast,LEA,rare,R,$8.50,1100,Alpha,222.9,LEA (R),2522.3529411764707,Beat S&P
Clone,LEA,uncommon,U,$3.54,4500,Alpha,213.99666666666667,LEA (U),5945.103578154435,Beat S&P
Cockatrice,LEA,rare,R,$8.50,1100,Alpha,673.655,LEA (R),7825.35294117647,Beat S&P
Consecrate Land,LEA,uncommon,U,$4.00,4500,Alpha,57.5,LEA (U),1337.5,Below S&P
